DATAFLOW,LAST UPDATE,freq,quantile,indic_il,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Albania,2017,2.0,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Albania,2018,2.0,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Albania,2019,2.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Albania,2020,2.5,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Albania,2021,2.7,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Austria,2015,3.5,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Austria,2016,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Austria,2017,3.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Austria,2018,3.4,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Austria,2019,3.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Austria,2020,3.3,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Austria,2021,3.2,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Austria,2022,3.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Austria,2023,3.1,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Belgium,2015,3.7,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Belgium,2016,3.7,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Belgium,2017,3.6,,
ESTAT:ILC_DI01$DEFAULTVIEW(1.0),14/02/25 11:00:00,Annual,First decile,Share of national equivalised income,Euro,Belgium,2018,3.7,,
