rowLabels;AT_P3_S14;BE_P3_S14;BG_P3_S14;CY_P3_S14;DE_P3_S14;DK_P3_S14;EE_P3_S14;ES_P3_S14;FR_P3_S14;GR_P3_S14;HR_P3_S14;HU_P3_S14;LT_P3_S14;LU_P3_S14;LV_P3_S14;MT_P3_S14;NL_P3_S14;PL_P3_S14;RO_P3_S14;SI_P3_S14;SK_P3_S14
AR_A01;7,51866E-06;6,19171E-06;3,61795E-05;3,98105E-05;1,04655E-05;1,19523E-05;1,09809E-05;3,71969E-05;8,65778E-06;3,63772E-05;5,16883E-06;2,16921E-06;1,94551E-05;3,43757E-06;3,1447E-06;1,15685E-05;1,40986E-05;7,98087E-05;2,67692E-05;1,64272E-05;7,64725E-06
AR_A02;8,98631E-09;0;5,22925E-08;0;7,77897E-09;0;0;2,62486E-08;4,57323E-09;6,6863E-08;0;0;0;0;0;0;8,84768E-09;1,67518E-07;4,12691E-08;0;0
AR_A03;1,53759E-07;1,19602E-07;8,13179E-08;6,38708E-07;8,77707E-08;3,09226E-07;6,71039E-08;1,37894E-06;3,15508E-07;1,98925E-06;8,54147E-08;6,831E-08;5,14326E-07;3,87092E-07;7,83393E-08;0;7,41789E-07;6,16072E-07;3,00622E-07;5,99509E-07;1,64001E-07
AR_B;0;0;4,36671E-06;0;2,5961E-05;0;0;0;0;0;0;0;0;0;0;0;3,69897E-05;0;7,95733E-07;0;0
AR_C10T12;6,32337E-05;6,66335E-05;0,000236647;0,001558567;0,000108875;0,000366447;0,000151453;0,001128759;0,000129295;0,001557177;0,000143821;6,15564E-05;0,001094728;5,38335E-05;0,000113226;0,000118845;0,000396152;0,001709732;0,000491552;0,000147552;0,000176832
AR_C13T15;7,15095E-05;7,56741E-07;3,06786E-08;9,3431E-08;6,69563E-06;3,10539E-07;7,77109E-08;1,44376E-06;7,08432E-07;4,65547E-08;0;1,00976E-08;1,34963E-06;3,42993E-07;7,79251E-08;0,000290788;3,34059E-07;4,62223E-06;5,10717E-06;0,000645527;6,56894E-05
AR_C16;4,14435E-09;9,53972E-09;0;0;2,17505E-09;0;0;1,54653E-08;5,34677E-09;1,71693E-09;0;0;0;0;0;0;1,75772E-08;1,45686E-08;0;0;0
AR_C17;4,36342E-07;4,98112E-09;0;0;2,49215E-08;5,25144E-08;0;1,812E-08;3,21997E-08;5,50637E-09;0;0;0;1,05416E-07;0;1,07395E-06;4,03149E-08;3,81713E-08;4,84928E-08;2,40062E-06;2,44796E-07
AR_C18;0;5,90072E-09;0;0;1,37157E-08;3,6058E-11;0;1,51645E-09;0;4,35224E-09;0;1,12593E-08;0;0;0;2,18352E-08;5,5267E-09;1,05469E-08;1,32783E-08;0;9,70688E-08
AR_C19;2,53457E-08;2,30107E-07;0;0;6,43283E-07;4,32401E-08;0;1,97295E-06;8,43759E-07;2,83874E-06;0;0;0;7,75903E-07;0;0;4,1094E-06;2,61964E-08;6,76846E-06;0;4,89429E-08
AR_C20;1,14476E-06;4,10341E-06;3,21366E-07;7,02279E-07;4,01368E-07;3,06056E-07;5,54567E-07;5,36726E-05;2,27934E-06;8,51873E-07;2,69235E-08;1,26518E-08;5,25096E-08;9,7569E-08;2,51137E-07;2,27123E-06;0,00012265;3,75314E-07;2,37616E-06;1,80551E-06;9,83765E-07
AR_C21;1,06299E-06;2,49557E-07;4,84143E-07;1,94394E-06;4,84546E-06;1,68056E-05;1,20592E-07;8,74812E-06;5,42908E-06;8,56663E-07;1,43846E-08;5,04992E-08;2,88518E-06;1,86428E-06;7,4468E-08;2,69764E-05;8,5069E-06;2,46022E-06;1,39254E-06;2,29724E-08;6,20685E-08
AR_C22;3,59863E-06;1,52545E-07;1,75519E-08;0;3,38958E-07;5,147E-08;0;9,17193E-07;2,79006E-07;1,5193E-08;0;7,48232E-09;2,11921E-07;6,51389E-08;0;1,1194E-05;2,58489E-06;3,14366E-07;2,54998E-06;1,09186E-05;2,95139E-06
AR_C23;0;2,45793E-07;0;0;2,29392E-08;3,90656E-08;0;9,29733E-08;2,92913E-08;5,69724E-08;0;0;0;0;0;0;2,34168E-07;6,22312E-09;0;0;0
AR_C24;3,54666E-10;2,60274E-09;0;0;0;1,79376E-09;0;9,8792E-10;2,45892E-09;7,06987E-12;0;0;0;0;0;0;0;1,72237E-08;0;0;3,3971E-10
AR_C25;1,01065E-07;5,30977E-09;1,31253E-08;0;2,68917E-08;5,97676E-08;0;5,88451E-08;1,18022E-07;2,1062E-08;0;0;0;0;0;3,68196E-07;1,74177E-07;1,05414E-07;7,60182E-08;1,31033E-07;5,91641E-08
AR_C26;2,78066E-07;3,76121E-08;2,30055E-08;0;3,15791E-07;1,44675E-06;0;1,12954E-07;1,50669E-06;1,42083E-07;0;3,56776E-07;0;6,20073E-08;0;1,10217E-05;1,29101E-07;1,01129E-07;1,50885E-07;9,89623E-07;9,02439E-08
AR_C27;2,28861E-08;4,2771E-08;1,46651E-08;0;4,88698E-08;2,78109E-07;0;8,24601E-08;5,70769E-07;4,70226E-08;0;5,85929E-09;0;1,04895E-07;5,37673E-08;0;4,994E-08;2,50086E-07;3,59783E-07;0;1,04546E-08
AR_C28;1,20612E-07;2,0478E-08;3,87682E-07;0;5,88715E-08;2,39747E-07;0;1,28561E-07;9,81136E-08;1,26968E-07;0;8,59867E-09;2,46437E-08;0;0;1,62816E-06;1,20694E-07;3,23195E-07;6,43015E-08;3,08459E-07;3,87917E-08
AR_C29;1,35306E-06;1,58277E-07;4,29333E-08;0;1,62203E-06;4,19855E-07;4,57476E-07;5,01088E-06;1,59304E-06;6,40884E-07;0;1,19895E-08;0;5,14077E-07;0;0;1,0295E-06;2,89991E-05;4,70487E-09;1,21519E-06;9,50791E-07
AR_C30;1,22279E-06;8,9002E-08;2,90598E-08;0;3,35496E-08;1,29045E-08;0;3,26762E-07;1,85498E-06;6,13144E-08;0;0;0;1,60108E-06;0;0;8,98269E-07;1,14294E-07;0;0;9,48415E-09
AR_C31_32;5,02281E-06;1,10881E-07;5,74307E-08;0;5,33607E-07;4,78877E-08;0;4,84313E-07;2,59965E-06;5,46187E-08;0;9,20605E-09;7,08737E-08;1,21375E-06;0;4,71741E-06;1,67216E-07;1,13995E-07;2,33993E-07;5,99319E-06;2,27314E-06
AR_C33;0;3,89873E-08;4,05913E-09;0;2,50998E-09;6,35792E-08;0;1,73688E-07;1,96349E-08;7,24597E-10;0;0;0;0;0;0;1,0228E-07;2,10926E-09;1,21603E-10;0;0
AR_D35;0;0;0;0;1,93909E-09;0;0;0;0;8,32313E-08;0;0;0;0;0;0;6,22114E-09;0;0;0;0
AR_E36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_E37T39;3,01831E-08;3,75301E-07;3,33572E-08;0;5,08786E-08;1,68321E-08;0;5,27193E-06;9,18509E-08;7,9222E-08;0;0;0;0;0;0;5,14594E-06;1,20647E-08;0;0;5,69443E-08
AR_F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_G45;0;0;0;7,72391E-07;2,27165E-05;2,48574E-05;0;8,00659E-07;7,84702E-08;2,25994E-05;0;0;0;0;0;1,10459E-06;2,58254E-06;0;4,11825E-08;1,84436E-07;0
AR_G46;0;0;0;0;0;3,42648E-09;0;0;0;0;0;0;0;0;0;5,49485E-10;0;0;0;0;0
AR_G47;0;0;0;0;0;7,27734E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,536E-09
AR_H49;1,84196E-05;1,15383E-06;6,68542E-07;0;2,80227E-06;6,91594E-07;4,21686E-06;4,82596E-07;1,50588E-06;2,81064E-05;6,63369E-07;2,25555E-06;8,87556E-06;0;0;0;3,54629E-05;9,2846E-07;4,79466E-06;4,29134E-05;1,97293E-05
AR_H50;8,47611E-08;5,90824E-09;2,11742E-09;0;1,14902E-08;9,91707E-07;1,21242E-07;2,04872E-06;5,9642E-08;0;6,10576E-08;5,29274E-08;7,07517E-07;1,424E-08;1,54106E-07;1,19425E-06;0;5,34364E-08;0;5,00277E-06;1,10215E-07
AR_H51;2,56577E-05;2,49224E-06;0,000117337;0,00040125;5,82748E-05;4,2379E-06;2,5453E-06;3,07262E-05;3,40283E-05;0,000179805;4,23234E-06;8,1296E-07;4,61133E-05;0;0;0;5,52966E-05;9,25368E-06;7,43112E-06;3,18863E-05;1,26702E-05
AR_H52;8,17826E-08;1,372E-09;1,12192E-07;0;2,18076E-07;4,51764E-08;0;1,46575E-09;9,83426E-07;1,77068E-05;0;0;3,0545E-08;0;0;0;3,53601E-08;5,42414E-10;7,21315E-11;9,53466E-08;1,30876E-08
AR_H53;0;0;0;0;4,17181E-08;0;0;2,48178E-09;0;0;0;0;0;0;0;0;0;0;0;0;0
AR_I;1,50517E-08;1,04782E-08;1,18602E-06;1,55037E-07;2,86654E-08;8,57441E-08;0;1,52486E-07;7,56987E-08;5,01779E-07;0;0;1,508E-08;1,47772E-06;0;0;8,1827E-08;1,49151E-07;2,98711E-07;0;1,61401E-08
AR_J58;4,39986E-08;0;0;0;1,05492E-07;9,76603E-08;0;1,26077E-07;2,28288E-08;2,17019E-08;0;3,60201E-08;0;0;0;1,36937E-08;4,1601E-08;4,12664E-09;0;0;0
AR_J59_60;0;0;0;0;1,12976E-08;0;0;1,05038E-09;8,89591E-10;0;0;0;0;0;0;0;1,38701E-09;0;0;0;0
AR_J61;2,56451E-08;0;0;0;8,2869E-07;0;0;0;1,54246E-07;0;0;0;0;0;0;0;0;0;2,73671E-09;0;0
AR_J62_63;4,90174E-08;0;0;0;1,79679E-08;4,12314E-08;0;0;4,47467E-07;0;0;0;0;0;0;0;0;0;1,90493E-07;0;0
AR_K64;5,51712E-09;1,75311E-08;0;0;6,58768E-08;3,72783E-09;0;3,049E-08;0;0;0;0;0;4,19561E-08;0;0;7,61566E-08;0;0;0;0
AR_K65;0;2,07208E-07;0;0;0;2,03057E-07;2,78849E-07;0;1,25256E-06;5,84812E-06;2,80538E-07;1,11717E-07;1,34313E-06;0;0;0;6,27596E-07;1,06825E-05;0;3,10087E-06;2,35906E-06
AR_K66;0;0;0;0;3,39934E-09;6,15419E-08;0;0;0;0;0;0;0;0;0;0;0;3,08914E-08;0;0;0
